user_id,page,session_duration,traffic_source,bounce,entry_page,exit_page
1,Home,581,Direct,1,Checkout,Blog
2,Checkout,232,Organic,0,Checkout,Checkout
3,Home,481,Direct,0,Contact,Blog
4,Blog,35,Direct,0,Checkout,Blog
5,Contact,401,Direct,0,Blog,Contact
6,Products,528,Social,1,Checkout,Checkout
7,Checkout,128,Social,0,Checkout,Products
8,Checkout,308,Referral,0,Home,Blog
9,Home,589,Direct,1,Home,Checkout
10,Blog,181,Direct,0,Contact,Blog
11,Products,209,Social,0,Home,Contact
12,Contact,529,Direct,0,Checkout,Contact
13,Checkout,74,Direct,1,Contact,Blog
14,Home,290,Referral,1,Contact,Products
15,Home,419,Organic,1,Checkout,Blog
16,Products,515,Organic,0,Home,Blog
17,Checkout,64,Social,0,Home,Products
18,Products,217,Social,0,Products,Checkout
19,Home,75,Organic,0,Checkout,Checkout
20,Checkout,350,Referral,1,Products,Home
21,Checkout,391,Direct,0,Checkout,Home
22,Checkout,94,Direct,0,Checkout,Checkout
23,Checkout,544,Referral,0,Products,Products
24,Checkout,165,Referral,1,Checkout,Home
25,Contact,289,Organic,1,Home,Home
26,Checkout,523,Referral,1,Home,Blog
27,Home,567,Organic,0,Contact,Products
28,Blog,413,Social,0,Home,Contact
29,Blog,214,Direct,1,Checkout,Checkout
30,Contact,546,Referral,0,Contact,Home
31,Blog,82,Social,1,Checkout,Home
32,Checkout,526,Referral,1,Products,Contact
33,Checkout,254,Direct,0,Checkout,Blog
34,Contact,111,Organic,0,Checkout,Home
35,Checkout,319,Social,1,Blog,Products
36,Blog,145,Direct,0,Checkout,Blog
37,Home,261,Referral,1,Products,Contact
38,Blog,456,Referral,0,Blog,Contact
39,Contact,458,Referral,0,Checkout,Products
40,Checkout,67,Social,0,Home,Checkout
41,Checkout,130,Social,0,Home,Home
42,Blog,562,Organic,0,Contact,Checkout
43,Blog,251,Social,1,Products,Products
44,Products,493,Organic,0,Home,Contact
45,Checkout,406,Social,0,Blog,Contact
46,Blog,285,Organic,0,Blog,Checkout
47,Checkout,185,Social,1,Contact,Home
48,Contact,31,Referral,1,Blog,Checkout
49,Blog,94,Referral,0,Checkout,Products
50,Home,419,Social,0,Contact,Products
51,Contact,539,Organic,0,Blog,Home
52,Blog,326,Organic,1,Contact,Home
53,Contact,207,Referral,0,Contact,Checkout
54,Home,149,Direct,1,Products,Products
55,Home,341,Referral,1,Home,Products
56,Contact,428,Referral,1,Home,Contact
57,Checkout,352,Organic,1,Home,Contact
58,Checkout,350,Direct,1,Products,Contact
59,Products,337,Organic,1,Blog,Blog
60,Checkout,313,Direct,1,Products,Contact
61,Products,456,Referral,0,Products,Blog
62,Home,30,Organic,0,Contact,Home
63,Checkout,250,Organic,0,Contact,Checkout
64,Contact,540,Direct,0,Checkout,Contact
65,Blog,401,Direct,1,Contact,Home
66,Contact,245,Referral,1,Home,Home
67,Blog,111,Referral,1,Blog,Home
68,Checkout,446,Social,0,Checkout,Home
69,Home,574,Referral,1,Products,Home
70,Home,17,Organic,1,Checkout,Home
71,Contact,304,Referral,0,Contact,Checkout
72,Products,482,Direct,1,Blog,Contact
73,Checkout,314,Direct,1,Products,Checkout
74,Blog,543,Direct,1,Products,Home
75,Checkout,43,Organic,0,Contact,Contact
76,Checkout,576,Organic,0,Home,Contact
77,Checkout,480,Direct,1,Products,Contact
78,Home,572,Organic,1,Contact,Contact
79,Contact,293,Organic,0,Products,Checkout
80,Blog,526,Social,0,Blog,Contact
81,Checkout,193,Social,0,Checkout,Contact
82,Products,277,Organic,0,Blog,Home
83,Products,136,Referral,1,Contact,Products
84,Products,14,Referral,0,Contact,Blog
85,Home,504,Organic,1,Contact,Home
86,Blog,254,Social,1,Home,Contact
87,Checkout,264,Direct,0,Contact,Contact
88,Products,278,Referral,1,Blog,Products
89,Blog,337,Referral,1,Blog,Products
90,Home,558,Social,0,Checkout,Home
91,Blog,548,Social,1,Checkout,Contact
92,Contact,378,Referral,1,Products,Contact
93,Checkout,46,Social,1,Home,Contact
94,Home,289,Direct,1,Products,Blog
95,Home,425,Organic,0,Home,Contact
96,Products,465,Social,0,Checkout,Blog
97,Blog,337,Organic,0,Checkout,Products
98,Contact,206,Direct,0,Checkout,Blog
99,Checkout,584,Direct,1,Contact,Checkout
100,Home,518,Organic,1,Products,Contact
101,Products,118,Direct,1,Products,Products
102,Contact,329,Direct,1,Contact,Blog
103,Contact,187,Direct,0,Home,Blog
104,Blog,314,Direct,0,Products,Products
105,Contact,142,Social,0,Home,Products
106,Contact,395,Social,0,Home,Products
107,Blog,413,Organic,1,Products,Checkout
108,Blog,65,Organic,0,Products,Home
109,Contact,80,Referral,0,Checkout,Home
110,Checkout,105,Direct,0,Contact,Products
111,Checkout,162,Referral,0,Contact,Products
112,Checkout,439,Direct,0,Blog,Contact
113,Checkout,351,Social,1,Products,Contact
114,Blog,255,Direct,0,Blog,Products
115,Blog,148,Referral,0,Contact,Products
116,Home,162,Social,0,Blog,Checkout
117,Checkout,121,Direct,1,Checkout,Home
118,Products,480,Direct,0,Products,Products
119,Blog,171,Referral,0,Products,Checkout
120,Products,561,Referral,1,Checkout,Checkout
121,Contact,159,Social,1,Contact,Checkout
122,Contact,193,Direct,1,Home,Products
123,Contact,93,Organic,0,Products,Checkout
124,Products,435,Referral,1,Contact,Blog
125,Home,241,Organic,0,Contact,Contact
126,Products,372,Referral,1,Products,Products
127,Products,306,Referral,0,Checkout,Contact
128,Blog,553,Organic,0,Home,Contact
129,Contact,182,Referral,0,Checkout,Products
130,Checkout,571,Organic,1,Blog,Home
131,Products,331,Social,1,Contact,Blog
132,Products,119,Direct,1,Products,Blog
133,Products,222,Social,0,Checkout,Home
134,Products,503,Social,0,Home,Products
135,Home,28,Direct,1,Contact,Products
136,Home,147,Organic,1,Home,Contact
137,Blog,59,Referral,0,Blog,Contact
138,Products,277,Referral,1,Home,Checkout
139,Home,143,Organic,1,Checkout,Blog
140,Blog,592,Referral,0,Blog,Checkout
141,Blog,462,Social,0,Blog,Blog
142,Contact,359,Organic,1,Home,Contact
143,Checkout,423,Referral,1,Blog,Checkout
144,Checkout,566,Social,0,Contact,Home
145,Checkout,171,Organic,0,Products,Contact
146,Contact,180,Direct,1,Checkout,Checkout
147,Products,378,Direct,0,Products,Checkout
148,Checkout,560,Organic,0,Blog,Products
149,Blog,229,Direct,0,Home,Home
150,Home,180,Social,1,Products,Home
151,Contact,317,Referral,0,Contact,Home
152,Home,172,Direct,1,Home,Contact
153,Home,531,Social,0,Contact,Blog
154,Products,263,Organic,0,Contact,Checkout
155,Home,370,Direct,1,Contact,Checkout
156,Home,226,Direct,0,Contact,Home
157,Products,263,Social,1,Blog,Products
158,Checkout,518,Social,1,Checkout,Home
159,Contact,495,Organic,0,Home,Contact
160,Blog,302,Direct,1,Blog,Contact
161,Home,506,Organic,0,Blog,Contact
162,Products,517,Direct,0,Products,Checkout
163,Products,416,Social,1,Blog,Products
164,Contact,519,Direct,0,Products,Contact
165,Products,384,Organic,1,Blog,Contact
166,Blog,345,Direct,0,Blog,Products
167,Products,587,Referral,1,Contact,Checkout
168,Checkout,173,Referral,1,Blog,Home
169,Checkout,80,Direct,0,Contact,Contact
170,Home,382,Direct,1,Home,Home
171,Checkout,543,Direct,1,Contact,Products
172,Products,335,Direct,0,Products,Blog
173,Blog,381,Direct,1,Blog,Products
174,Contact,481,Referral,0,Checkout,Checkout
175,Products,304,Social,0,Checkout,Blog
176,Home,345,Referral,1,Blog,Checkout
177,Contact,323,Direct,0,Checkout,Home
178,Products,343,Organic,1,Blog,Home
179,Contact,260,Referral,0,Products,Products
180,Home,142,Social,1,Contact,Blog
181,Blog,211,Referral,0,Products,Products
182,Checkout,292,Direct,1,Contact,Home
183,Blog,469,Direct,1,Home,Contact
184,Contact,331,Referral,1,Products,Home
185,Checkout,98,Organic,0,Checkout,Checkout
186,Products,552,Referral,0,Products,Home
187,Checkout,260,Social,1,Contact,Home
188,Products,348,Social,0,Contact,Products
189,Checkout,371,Social,1,Products,Home
190,Home,58,Social,1,Products,Home
191,Checkout,407,Referral,1,Checkout,Home
192,Products,389,Referral,1,Blog,Products
193,Home,94,Referral,0,Contact,Products
194,Blog,316,Referral,0,Contact,Checkout
195,Blog,521,Social,1,Blog,Contact
196,Checkout,151,Social,1,Blog,Contact
197,Checkout,473,Organic,0,Blog,Blog
198,Checkout,392,Referral,0,Checkout,Products
199,Contact,575,Social,1,Blog,Checkout
200,Contact,299,Social,1,Home,Checkout
201,Checkout,541,Referral,0,Checkout,Contact
202,Home,33,Organic,1,Checkout,Products
203,Contact,257,Organic,0,Contact,Checkout
204,Blog,150,Organic,0,Contact,Checkout
205,Contact,22,Social,1,Checkout,Products
206,Checkout,570,Direct,0,Checkout,Contact
207,Home,288,Organic,0,Home,Products
208,Products,62,Referral,1,Blog,Home
209,Checkout,311,Direct,0,Home,Home
210,Products,362,Referral,0,Contact,Blog
211,Home,89,Social,1,Home,Products
212,Home,493,Social,1,Products,Contact
213,Blog,451,Direct,1,Checkout,Products
214,Home,229,Referral,0,Contact,Checkout
215,Contact,235,Direct,1,Products,Contact
216,Contact,134,Direct,1,Checkout,Blog
217,Products,595,Organic,0,Checkout,Contact
218,Home,167,Direct,1,Checkout,Checkout
219,Home,493,Organic,0,Blog,Blog
220,Blog,205,Organic,0,Products,Home
221,Blog,568,Social,0,Products,Blog
222,Blog,79,Referral,0,Checkout,Contact
223,Blog,102,Social,0,Home,Contact
224,Blog,253,Direct,0,Home,Checkout
225,Products,229,Social,1,Contact,Home
226,Home,251,Referral,1,Products,Blog
227,Checkout,364,Referral,1,Blog,Checkout
228,Contact,252,Referral,1,Home,Blog
229,Checkout,20,Organic,0,Contact,Blog
230,Blog,560,Organic,0,Checkout,Contact
231,Contact,328,Direct,0,Home,Checkout
232,Checkout,363,Organic,1,Blog,Blog
233,Contact,455,Referral,1,Contact,Products
234,Products,297,Social,1,Checkout,Checkout
